smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
smooth,1,soft,rounded,nothing,normal,low
rough,0,hard,rounded,nothing,normal,good
